----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Fri Jun 14 11:39:57 2024
----------------------------------------------------------------------
{'name': 'gnome-shell-calendar-server', 'username': 'arjun', 'pid': 2018, 'vms': 569.0234375} 
{'name': 'evolution-source-registry', 'username': 'arjun', 'pid': 2028, 'vms': 1046.99609375} 
{'name': 'snapd-desktop-integration', 'username': 'arjun', 'pid': 2029, 'vms': 421.64453125} 
{'name': 'evolution-calendar-factory', 'username': 'arjun', 'pid': 2052, 'vms': 1284.76953125} 
{'name': 'dconf-service', 'username': 'arjun', 'pid': 2060, 'vms': 153.51953125} 
{'name': 'evolution-addressbook-factory', 'username': 'arjun', 'pid': 2064, 'vms': 664.48828125} 
{'name': 'gvfsd-trash', 'username': 'arjun', 'pid': 2077, 'vms': 308.4609375} 
{'name': 'gjs', 'username': 'arjun', 'pid': 2094, 'vms': 2934.578125} 
{'name': 'at-spi2-registryd', 'username': 'arjun', 'pid': 2096, 'vms': 158.87109375} 
{'name': 'sh', 'username': 'arjun', 'pid': 2112, 'vms': 2.82421875} 
{'name': 'gsd-a11y-settings', 'username': 'arjun', 'pid': 2113, 'vms': 303.15625} 
{'name': 'ibus-daemon', 'username': 'arjun', 'pid': 2115, 'vms': 379.9140625} 
{'name': 'gsd-color', 'username': 'arjun', 'pid': 2116, 'vms': 451.84765625} 
{'name': 'gsd-datetime', 'username': 'arjun', 'pid': 2119, 'vms': 366.67578125} 
{'name': 'gsd-housekeeping', 'username': 'arjun', 'pid': 2121, 'vms': 304.8828125} 
{'name': 'gsd-keyboard', 'username': 'arjun', 'pid': 2126, 'vms': 332.60546875} 
{'name': 'gsd-media-keys', 'username': 'arjun', 'pid': 2129, 'vms': 771.953125} 
{'name': 'gsd-power', 'username': 'arjun', 'pid': 2131, 'vms': 698.80859375} 
{'name': 'gsd-print-notifications', 'username': 'arjun', 'pid': 2133, 'vms': 244.0} 
{'name': 'gsd-rfkill', 'username': 'arjun', 'pid': 2135, 'vms': 447.125} 
{'name': 'gsd-screensaver-proxy', 'username': 'arjun', 'pid': 2136, 'vms': 230.75} 
{'name': 'gsd-sharing', 'username': 'arjun', 'pid': 2137, 'vms': 455.02734375} 
{'name': 'gsd-smartcard', 'username': 'arjun', 'pid': 2140, 'vms': 304.9921875} 
{'name': 'gsd-sound', 'username': 'arjun', 'pid': 2142, 'vms': 311.86328125} 
{'name': 'gsd-wacom', 'username': 'arjun', 'pid': 2143, 'vms': 333.1796875} 
{'name': 'evolution-alarm-notify', 'username': 'arjun', 'pid': 2205, 'vms': 799.69140625} 
{'name': 'gsd-disk-utility-notify', 'username': 'arjun', 'pid': 2210, 'vms': 226.82421875} 
{'name': 'ibus-dconf', 'username': 'arjun', 'pid': 2240, 'vms': 231.7578125} 
{'name': 'ibus-extension-gtk3', 'username': 'arjun', 'pid': 2241, 'vms': 339.67578125} 
{'name': 'ibus-portal', 'username': 'arjun', 'pid': 2246, 'vms': 231.82421875} 
{'name': 'gsd-printer', 'username': 'arjun', 'pid': 2250, 'vms': 334.33203125} 
{'name': 'snap-store', 'username': 'arjun', 'pid': 2259, 'vms': 1086.4921875} 
{'name': 'ibus-engine-simple', 'username': 'arjun', 'pid': 2309, 'vms': 159.6484375} 
{'name': 'xdg-desktop-portal', 'username': 'arjun', 'pid': 2331, 'vms': 737.16796875} 
{'name': 'xdg-desktop-portal-gnome', 'username': 'arjun', 'pid': 2336, 'vms': 583.46484375} 
{'name': 'gjs', 'username': 'arjun', 'pid': 2382, 'vms': 2934.5625} 
{'name': 'xdg-desktop-portal-gtk', 'username': 'arjun', 'pid': 2457, 'vms': 336.42578125} 
{'name': 'gvfsd-metadata', 'username': 'arjun', 'pid': 2519, 'vms': 159.734375} 
{'name': 'Xwayland', 'username': 'arjun', 'pid': 2594, 'vms': 1149.2109375} 
{'name': 'gsd-xsettings', 'username': 'arjun', 'pid': 2621, 'vms': 1237.94140625} 
{'name': 'ibus-x11', 'username': 'arjun', 'pid': 2655, 'vms': 189.62890625} 
{'name': 'update-notifier', 'username': 'arjun', 'pid': 2996, 'vms': 482.51953125} 
{'name': 'gnome-terminal', 'username': 'arjun', 'pid': 3217, 'vms': 35.11328125} 
{'name': 'gnome-terminal.real', 'username': 'arjun', 'pid': 3220, 'vms': 374.19140625} 
{'name': 'gnome-terminal-server', 'username': 'arjun', 'pid': 3225, 'vms': 543.3125} 
{'name': 'bash', 'username': 'arjun', 'pid': 3251, 'vms': 13.8671875} 
{'name': 'gvfsd-network', 'username': 'arjun', 'pid': 3321, 'vms': 379.625} 
